"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\bookmarks.dart", "Dart", 103, 0, 10, 113
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\comentscreen.dart", "Dart", 141, 12, 12, 165
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\edit_page.dart", "Dart", 382, 6, 21, 409
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\edit_user.dart", "Dart", 275, 0, 14, 289
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\firebase_options.dart", "Dart", 72, 12, 6, 90
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\forgotPass.dart", "Dart", 161, 2, 7, 170
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\homepage.dart", "Dart", 166, 7, 11, 184
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\intial_auth.dart", "Dart", 23, 5, 4, 32
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\large_post.dart", "Dart", 27, 0, 4, 31
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\login.dart", "Dart", 247, 2, 9, 258
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\main.dart", "Dart", 29, 1, 5, 35
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\mainpage.dart", "Dart", 66, 5, 8, 79
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\map_screen.dart", "Dart", 347, 13, 34, 394
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\menuscreen.dart", "Dart", 140, 221, 5, 366
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\new_scrapbook.dart", "Dart", 523, 2, 28, 553
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\onboarding.dart", "Dart", 308, 16, 21, 345
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\profile.dart", "Dart", 273, 12, 15, 300
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\profile_general.dart", "Dart", 324, 9, 17, 350
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\register.dart", "Dart", 373, 6, 15, 394
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\resetPass.dart", "Dart", 87, 1, 5, 93
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\scrapbook_page.dart", "Dart", 62, 0, 5, 67
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\search_screen.dart", "Dart", 175, 0, 10, 185
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\storage_methods.dart", "Dart", 26, 0, 5, 31
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\choose_image.dart", "Dart", 17, 0, 5, 22
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\colors.dart", "Dart", 9, 1, 3, 13
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\comment_card.dart", "Dart", 102, 27, 9, 138
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\like_animation.dart", "Dart", 71, 0, 12, 83
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\menu_button.dart", "Dart", 69, 1, 3, 73
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\pic.dart", "Dart", 92, 130, 9, 231
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post.dart", "Dart", 494, 24, 18, 536
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post_image.dart", "Dart", 50, 0, 6, 56
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\scrapbook_painter.dart", "Dart", 28, 1, 7, 36
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\template.dart", "Dart", 59, 1, 4, 64
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\user_model.dart", "Dart", 51, 0, 6, 57
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\view_page.dart", "Dart", 334, 5, 15, 354
"Total", "-", 5706, 522, 368, 6596
