"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\edit_page.dart", "Dart", 11, 0, 0, 11
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\homepage.dart", "Dart", 18, -41, -1, -24
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\new_scrapbook.dart", "Dart", 3, 0, 0, 3
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post.dart", "Dart", 93, -4, 4, 93
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\view_page.dart", "Dart", 18, 6, 0, 24
"Total", "-", 143, -39, 3, 107
