"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\homepage.dart", "Dart", 1, 0, 0, 1
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\new_scrapbook.dart", "Dart", 1, 0, 0, 1
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\search_screen.dart", "Dart", 15, 0, 0, 15
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post_image.dart", "Dart", 3, 0, 0, 3
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\view_page.dart", "Dart", 63, -6, 3, 60
"Total", "-", 83, -6, 3, 80
