"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\edit_page.dart", "Dart", 150, 1, 9, 160
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\homepage.dart", "Dart", 0, -2, 0, -2
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\main.dart", "Dart", 2, 0, 0, 2
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\map_screen.dart", "Dart", 236, 8, 20, 264
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\profile_general.dart", "Dart", -6, 0, 0, -6
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post.dart", "Dart", 18, 0, 0, 18
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\view_page.dart", "Dart", 224, 1, 12, 237
"Total", "-", 624, 8, 41, 673
